DOC NO.,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5
1,0.111498258,0.068524971,0.741579559,0.036004646,0.042392567
2,0.192307692,0.166666667,0.205128205,0.153846154,0.282051282
3,0.169338677,0.085170341,0.162324649,0.529058116,0.054108216
4,0.208125,0.15375,0.18625,0.42,0.031875
5,0.138702461,0.675167785,0.096644295,0.055033557,0.034451902
6,0.182389937,0.072955975,0.081761006,0.173584906,0.489308176
7,0.114130435,0.13451087,0.135869565,0.190217391,0.425271739
8,0.161702128,0.141843972,0.103546099,0.540425532,0.05248227
9,0.06627566,0.229912023,0.125513196,0.514956012,0.063343109
10,0.090600227,0.719516799,0.060777652,0.101170253,0.02793507
11,0.074257426,0.064356436,0.603960396,0.108910891,0.148514851
12,0.405616225,0.209048362,0.204368175,0.11700468,0.063962559
13,0.601342282,0.081879195,0.120805369,0.132885906,0.063087248
14,0.559643255,0.069119287,0.1393534,0.15942029,0.072463768
15,0.652843602,0.071090047,0.143364929,0.086492891,0.046208531
16,0.630238291,0.0673788,0.141331142,0.12243221,0.038619556
17,0.190947666,0.067892504,0.149929279,0.503536068,0.087694484
18,0.279098874,0.083854819,0.088861076,0.127659574,0.420525657
19,0.254826255,0.127413127,0.087516088,0.077220077,0.453024453
20,0.113924051,0.1187926,0.620253165,0.070107108,0.076923077
21,0.124657534,0.068493151,0.136986301,0.582191781,0.087671233
22,0.070205479,0.148972603,0.065068493,0.13869863,0.577054795
23,0.172839506,0.296296296,0.209876543,0.160493827,0.160493827
24,0.133144476,0.208215297,0.128895184,0.087818697,0.441926346
25,0.687575392,0.080820265,0.112183353,0.086851628,0.032569361
26,0.095424837,0.111111111,0.54379085,0.211764706,0.037908497
27,0.059372915,0.072048032,0.198799199,0.057371581,0.612408272
28,0.045092838,0.073386384,0.768346596,0.064544651,0.048629531
29,0.158645276,0.188948307,0.151515152,0.452762923,0.048128342
30,0.117428925,0.088998764,0.191594561,0.47960445,0.1223733
