"","x"
"ill",16
"anti",9
"critic",9
"irrit",8
"self",8
"annoy",7
"disappoint",7
"disgust",7
"frustrat",7
"hate",7
"accus",6
"betray",6
"brutal",6
"calumni",6
"confus",6
"corrupt",6
"demon",6
"depress",6
"detest",6
"devast",6
"disagre",6
"disrespect",6
"outrag",6
"regret",6
"repuls",6
"scandal",6
"suffer",6
"tortur",6
"worri",6
"ach",5
"appal",5
"barbar",5
"break",5
"bump",5
"condemn",5
"contamin",5
"deplor",5
"detract",5
"die",5
"disturb",5
"exasper",5
"fallaci",5
"hard",5
"horrifi",5
"hurt",5
"insult",5
"irrat",5
"kill",5
"limit",5
"miser",5
"mock",5
"negat",5
"obstruct",5
"oppress",5
"overwhelm",5
"rant",5
"refus",5
"refut",5
"reject",5
"slander",5
"troubl",5
"upset",5
"vibrat",5
"wast",5
"abomin",4
"absurd",4
"abus",4
"addict",4
"admonish",4
"alarm",4
"apprehens",4
"bash",4
"bewild",4
"blur",4
"bore",4
"bother",4
"bruis",4
"bulli",4
"burn",4
"cataclysm",4
"catastroph",4
"cheat",4
"complain",4
"conflict",4
"crash",4
"crippl",4
"damag",4
"deceit",4
"deceiv",4
"degrad",4
"deject",4
"delay",4
"deni",4
"deris",4
"despond",4
"disadvantag",4
"disconcert",4
"discourag",4
"disdain",4
"disgrac",4
"disintegr",4
"dislik",4
"dismay",4
"dispirit",4
"diss",4
"dissatisfi",4
"distort",4
"distress",4
"doubt",4
"drag",4
"drain",4
"dread",4
"dump",4
"embarrass",4
"exhaust",4
"fail",4
"fanat",4
"fear",4
"gall",4
"gimmick",4
"grudg",4
"harass",4
"harm",4
"humili",4
"hypocrit",4
"hyster",4
"idiot",4
"imperfect",4
"inconsist",4
"indign",4
"infuri",4
"intimid",4
"irk",4
"irksom",4
"irrecover",4
"jeer",4
"lack",4
"lag",4
"lie",4
"loath",4
"long",4
"mangl",4
"manipul",4
"mess",4
"murder",4
"nauseat",4
"obscur",4
"obsess",4
"occlud",4
"offens",4
"pain",4
"perplex",4
"pervers",4
"picket",4
"protest",4
"quarrel",4
"radic",4
"reprehens",4
"repugn",4
"restrict",4
"retard",4
"ridicul",4
"ruin",4
"sag",4
"scold",4
"scrambl",4
"shame",4
"shock",4
"skeptic",4
"slog",4
"smell",4
"smudg",4
"snag",4
"spew",4
"spite",4
"stress",4
"struggl",4
"stutter",4
"tarnish",4
"taunt",4
"terror",4
"throb",4
"timid",4
"traumat",4
"undermin",4
"unnerv",4
"unprov",4
"unsettl",4
"unus",4
"violat",4
"vomit",4
"abort",3
"acerb",3
"acrid",3
"acrimoni",3
"adulter",3
"afflict",3
"aggrav",3
"aggress",3
"agon",3
"alien",3
"alleg",3
"anxious",3
"arrog",3
"aspers",3
"audaci",3
"back",3
"backach",3
"baffl",3
"belittl",3
"belliger",3
"bias",3
"bitter",3
"bleak",3
"bleed",3
"blind",3
"blunder",3
"brash",3
"brazen",3
"bug",3
"caprici",3
"clog",3
"concern",3
"condescend",3
"confess",3
"confound",3
"confront",3
"corros",3
"crack",3
"cramp",3
"creak",3
"creep",3
"cring",3
"crook",3
"crumpl",3
"crush",3
"curs",3
"damn",3
"danger",3
"daunt",3
"debas",3
"decept",3
"declin",3
"defam",3
"defect",3
"defici",3
"degener",3
"demor",3
"dent",3
"denunci",3
"deprav",3
"desol",3
"despair",3
"desper",3
"despot",3
"destruct",3
"deterior",3
"devious",3
"diabol",3
"dire",3
"disapoint",3
"disapprov",3
"disconsol",3
"discont",3
"discontinu",3
"discord",3
"dishearten",3
"dishonor",3
"disillus",3
"dismal",3
