"","x"
"well",21
"excel",10
"free",8
"marvel",8
"admir",7
"enjoy",7
"excit",7
"prefer",7
"ador",6
"amaz",6
"appreci",6
"exalt",6
"gain",6
"impress",6
"improv",6
"support",6
"wonder",6
"assur",5
"astonish",5
"clear",5
"delight",5
"endors",5
"exceed",5
"gratifi",5
"honor",5
"love",5
"luxuri",5
"mesmer",5
"raptur",5
"respect",5
"right",5
"self",5
"thrill",5
"accomplish",4
"achiev",4
"advantag",4
"astound",4
"beckon",4
"best",4
"comfort",4
"courag",4
"defeat",4
"eas",4
"effect",4
"effus",4
"elat",4
"enchant",4
"encourag",4
"enhanc",4
"entic",4
"exhilar",4
"exult",4
"faith",4
"fascin",4
"inspir",4
"jubil",4
"like",4
"low",4
"master",4
"outperform",4
"pamper",4
"pep",4
"pleas",4
"posit",4
"promis",4
"recommend",4
"reform",4
"rever",4
"rich",4
"satisfi",4
"sensat",4
"simplifi",4
"skill",4
"smile",4
"stimul",4
"subsid",4
"succeed",4
"success",4
"suffici",4
"top",4
"trust",4
"uplift",4
"work",4
"wow",4
"advoc",3
"affabl",3
"affirm",3
"afford",3
"agil",3
"agreeabl",3
"amic",3
"amus",3
"aspir",3
"attract",3
"award",3
"awesom",3
"beauti",3
"better",3
"bliss",3
"calm",3
"capabl",3
"celebr",3
"charm",3
"coher",3
"commend",3
"complement",3
"congratul",3
"conveni",3
"cost",3
"dazzl",3
"desir",3
"dilig",3
"domin",3
"eager",3
"earnest",3
"easi",3
"ebulli",3
"effici",3
"eleg",3
"eloqu",3
"emin",3
"entertain",3
"enthral",3
"enthusiast",3
"envious",3
"exuber",3
"fair",3
"famous",3
"fast",3
"favor",3
"fine",3
"first",3
"flatter",3
"fond",3
"fortun",3
"friend",3
"glad",3
"glow",3
"good",3
"grace",3
"gracious",3
"harmoni",3
"help",3
"humor",3
"ideal",3
"idol",3
"illumin",3
"imparti",3
"infal",3
"ingenu",3
"intellig",3
"intrigu",3
"joy",3
"keen",3
"known",3
"law",3
"lead",3
"magnific",3
"matur",3
"merci",3
"miracul",3
"nourish",3
"overtak",3
"passion",3
"peac",3
"perfect",3
"pleasur",3
"price",3
"prodigi",3
"prosper",3
"protect",3
"reason",3
"refin",3
"refresh",3
"rejoic",3
"rejuven",3
"restructur",3
"reviv",3
"revolution",3
"reward",3
"righteous",3
"save",3
"sincer",3
"smooth",3
"spellbind",3
"staunch",3
"steadfast",3
"stun",3
"suffic",3
"sumptuous",3
"sweet",3
"talent",3
"tantal",3
"tempt",3
"thought",3
"titil",3
"truth",3
"undisput",3
"upgrad",3
"win",3
"abund",2
"access",2
"acclaim",2
"accolad",2
"accur",2
"adapt",2
"adroit",2
"adul",2
"affect",2
"allur",2
"altruist",2
"ambiti",2
"amen",2
"amiabl",2
"angel",2
"appeal",2
"approv",2
"ardent",2
"attack",2
"audibl",2
"avid",2
"awe",2
"balanc",2
"believ",2
"benefici",2
"benefit",2
"benevol",2
"bless",2
